,jobId,compSize,skill,experience,education,salary
0,3183990,1250.0,9,4.0,2,27.5
1,2390983,2000.0,10,4.0,2,17.5
2,4083668,100.0,8,2.0,2,15.0
3,4083662,2000.0,7,4.0,2,14.0
4,4083289,100.0,1,2.0,1,9.0
5,4083101,1250.0,0,4.0,1,10.0
6,4083301,1250.0,11,4.0,2,20.0
7,4082916,2000.0,4,7.5,1,37.5
8,4083189,100.0,14,4.0,2,13.0
9,4083047,1250.0,10,7.5,2,27.5
10,4083048,1250.0,8,4.0,2,20.0
11,3754034,100.0,6,4.0,2,26.5
12,4082340,325.0,12,2.0,2,15.0
13,2751893,1250.0,10,4.0,1,12.0
14,3747709,100.0,6,4.0,2,15.5
15,2347379,2000.0,10,2.0,2,12.5
16,3374345,1250.0,2,4.0,2,12.5
17,3556863,1250.0,13,4.0,1,12.5
18,2618370,2000.0,9,2.0,2,10.5
19,1935571,325.0,14,2.0,2,11.5
20,1460075,325.0,11,4.0,1,18.0
21,3172625,2000.0,11,4.0,2,20.0
22,3821857,325.0,3,7.5,0,20.0
23,3175811,325.0,14,4.0,2,16.5
24,3754435,100.0,6,4.0,2,20.0
25,1894269,1250.0,10,4.0,1,13.5
26,2852069,325.0,13,4.0,1,8.5
27,2153608,2000.0,7,4.0,2,30.0
28,3186566,325.0,7,4.0,2,20.0
29,1763580,2000.0,9,4.0,2,15.0
30,2443792,2000.0,7,2.0,2,15.0
31,3887929,1250.0,8,4.0,2,15.0
32,3130630,2000.0,10,2.0,2,9.0
33,3747631,100.0,6,4.0,2,15.5
34,1651284,325.0,13,4.0,2,11.0
35,3194137,2000.0,11,4.0,2,18.0
36,3990563,2000.0,13,7.5,2,17.5
37,3304725,1250.0,6,4.0,2,24.0
38,3102579,2000.0,11,4.0,0,12.0
39,2891234,325.0,4,4.0,1,11.5
40,3144548,32.5,12,4.0,2,15.5
41,1613352,2000.0,5,4.0,2,20.0
42,3349285,32.5,3,4.0,2,21.0
43,3783143,1250.0,9,4.0,2,13.5
44,1520115,2000.0,7,4.0,2,30.0
45,2905069,2000.0,10,4.0,2,15.0
46,3469621,1250.0,6,4.0,0,15.5
47,3910486,2000.0,9,4.0,2,8.5
48,3113754,2000.0,14,4.0,2,20.0
49,3784034,1250.0,6,4.0,1,13.5
50,2133429,2000.0,7,4.0,2,30.0
51,4081037,325.0,4,4.0,1,11.5
52,4052747,15.0,4,4.0,2,22.5
53,4074847,2000.0,5,7.5,2,20.0
54,2568566,1250.0,3,4.0,2,16.5
55,4046230,1250.0,8,2.0,0,12.0
56,2753543,2000.0,6,0.0,2,13.5
57,2967753,100.0,6,2.0,2,22.5
58,3105512,2000.0,11,4.0,0,12.0
59,4014135,100.0,18,4.0,1,20.0
60,2876131,2000.0,10,4.0,2,20.0
61,3475648,1250.0,3,4.0,1,15.0
62,2415487,2000.0,10,2.0,2,10.5
63,2107450,2000.0,11,4.0,2,18.0
64,3096112,2000.0,12,4.0,1,12.0
65,4051215,325.0,4,2.0,0,17.5
66,2261399,1250.0,14,4.0,2,21.0
67,4081014,325.0,9,4.0,2,16.0
68,4042887,32.5,16,4.0,2,24.0
69,3666752,325.0,8,4.0,2,20.0
70,3573149,325.0,7,4.0,2,17.5
71,4022137,32.5,7,4.0,2,22.5
72,4045340,325.0,5,2.0,2,9.0
73,3232849,1250.0,11,4.0,2,20.0
